id,dep,jour,jour_fr,indic_hosp,indic_rea,indic_rad,indic_dc
762020-03-220,76,2020-03-22,22 mars 2020,14,3,2,2
772020-03-220,77,2020-03-22,22 mars 2020,37,9,3,0
782020-03-220,78,2020-03-22,22 mars 2020,37,3,4,0
792020-03-220,79,2020-03-22,22 mars 2020,4,0,2,1
802020-03-220,80,2020-03-22,22 mars 2020,18,4,0,0
812020-03-220,81,2020-03-22,22 mars 2020,2,0,1,0
822020-03-220,82,2020-03-22,22 mars 2020,1,1,0,0
832020-03-220,83,2020-03-22,22 mars 2020,22,4,11,0
842020-03-220,84,2020-03-22,22 mars 2020,3,0,1,0
852020-03-220,85,2020-03-22,22 mars 2020,4,3,1,0
862020-03-220,86,2020-03-22,22 mars 2020,2,0,0,1
872020-03-220,87,2020-03-22,22 mars 2020,3,0,0,0
882020-03-220,88,2020-03-22,22 mars 2020,13,3,5,4
892020-03-220,89,2020-03-22,22 mars 2020,1,0,0,0
902020-03-220,90,2020-03-22,22 mars 2020,18,0,19,5
912020-03-220,91,2020-03-22,22 mars 2020,63,18,5,0
922020-03-220,92,2020-03-22,22 mars 2020,114,25,17,3
932020-03-220,93,2020-03-22,22 mars 2020,29,9,6,4
942020-03-220,94,2020-03-22,22 mars 2020,75,18,15,6
952020-03-220,95,2020-03-22,22 mars 2020,87,12,9,7
9712020-03-220,971,2020-03-22,22 mars 2020,6,5,0,0
9722020-03-220,972,2020-03-22,22 mars 2020,1,1,0,0
9732020-03-220,973,2020-03-22,22 mars 2020,0,0,0,0
9742020-03-220,974,2020-03-22,22 mars 2020,0,0,0,0
9762020-03-220,976,2020-03-22,22 mars 2020,0,0,0,0
012020-03-230,1,2020-03-23,23 mars 2020,14,1,5,0
022020-03-230,2,2020-03-23,23 mars 2020,27,1,5,2
032020-03-230,3,2020-03-23,23 mars 2020,11,0,4,1
042020-03-230,4,2020-03-23,23 mars 2020,0,0,0,0
052020-03-230,5,2020-03-23,23 mars 2020,5,3,2,0
062020-03-230,6,2020-03-23,23 mars 2020,22,5,0,0
072020-03-230,7,2020-03-23,23 mars 2020,7,0,0,1
082020-03-230,8,2020-03-23,23 mars 2020,1,1,0,0
092020-03-230,9,2020-03-23,23 mars 2020,1,2,0,0
102020-03-230,10,2020-03-23,23 mars 2020,9,0,0,2
112020-03-230,11,2020-03-23,23 mars 2020,14,4,0,0
122020-03-230,12,2020-03-23,23 mars 2020,1,0,0,0
132020-03-230,13,2020-03-23,23 mars 2020,80,15,30,0
142020-03-230,14,2020-03-23,23 mars 2020,11,2,2,0
152020-03-230,15,2020-03-23,23 mars 2020,0,0,0,0
162020-03-230,16,2020-03-23,23 mars 2020,2,2,0,0
172020-03-230,17,2020-03-23,23 mars 2020,2,1,1,0
182020-03-230,18,2020-03-23,23 mars 2020,0,0,0,0
192020-03-230,19,2020-03-23,23 mars 2020,3,1,0,1
212020-03-230,21,2020-03-23,23 mars 2020,21,2,12,6
222020-03-230,22,2020-03-23,23 mars 2020,2,0,0,0
232020-03-230,23,2020-03-23,23 mars 2020,3,0,0,0
242020-03-230,24,2020-03-23,23 mars 2020,23,0,9,0
252020-03-230,25,2020-03-23,23 mars 2020,1,0,2,1
262020-03-230,26,2020-03-23,23 mars 2020,12,4,1,2
272020-03-230,27,2020-03-23,23 mars 2020,3,0,0,0
